scenario,player_1_strategy,player_2_strategy,matches,troops_per_player,battlefields,total_battlefield_value,player_1_win_rate,player_2_win_rate,draw_rate,avg_player_1_score,avg_player_2_score,avg_margin,avg_runtime_ms,max_runtime_ms,avg_player_1_score_share,avg_player_2_score_share,avg_player_1_battlefield_wins,avg_player_2_battlefield_wins,avg_tied_battlefields,avg_player_1_hhi,avg_player_2_hhi,avg_player_1_entropy,avg_player_2_entropy,avg_player_1_unused_battlefields,avg_player_2_unused_battlefields,close_game_rate,decisive_game_rate
baseline,random_partition,uniform,250,20,5,15,0.216,0.736,0.048,6.086,8.914,-2.828,0.02452639990951866,1.3442999916151166,0.40573333333333333,0.5942666666666666,1.804,2.736,0.46,0.35452000000000006,0.20000000000000004,1.7541350324769807,2.321928094887362,0.644,0.0,0.26,0.524
baseline,random_partition,weighted_value,250,20,5,15,0.112,0.856,0.032,5.276,9.724,-4.448,0.013518401188775897,0.2778000198304653,0.35173333333333334,0.6482666666666667,1.98,2.508,0.512,0.34114,0.25,1.7960218624612194,2.1211274733371868,0.636,0.0,0.2,0.564
baseline,random_partition,winner_take_most,250,20,5,15,0.152,0.84,0.008,6.362,8.638,-2.276,0.037254400085657835,4.717600008007139,0.4241333333333333,0.5758666666666666,2.788,1.82,0.392,0.3448,0.5050000000000001,1.78028837249722,0.9927744539878083,0.624,3.0,0.04,0.328
baseline,top_heavy,anti_top_heavy,250,20,5,15,0.0,1.0,0.0,5.0,10.0,-5.0,0.015696400543674827,0.03850000211969018,0.3333333333333333,0.6666666666666666,1.0,4.0,0.0,0.5149999999999999,0.265,1.4567796494470395,2.063865121950854,0.0,0.0,0.0,1.0
baseline,top_heavy,balanced_priority,250,20,5,15,0.0,1.0,0.0,5.0,10.0,-5.0,0.01587599969934672,0.025600020308047533,0.3333333333333333,0.6666666666666666,1.0,4.0,0.0,0.5149999999999999,0.225,1.4567796494470395,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,top_heavy,defensive_spread,250,20,5,15,0.0,1.0,0.0,5.0,10.0,-5.0,0.017023199005052447,0.05060000694356859,0.3333333333333333,0.6666666666666666,1.0,4.0,0.0,0.5149999999999999,0.225,1.4567796494470395,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,top_heavy,noisy_weighted,250,20,5,15,0.0,1.0,0.0,5.36,9.64,-4.28,0.019279600586742163,0.08190001244656742,0.35733333333333334,0.6426666666666666,1.0,3.288,0.712,0.5149999999999999,0.25246,1.4567796494470395,2.119225349931003,0.0,0.0,0.0,0.996
baseline,top_heavy,random_partition,250,20,5,15,0.5,0.432,0.068,7.874,7.126,0.748,0.014685999834910035,0.025299988919869065,0.5249333333333333,0.47506666666666664,1.82,2.576,0.604,0.5149999999999999,0.36207999999999996,1.4567796494470395,1.7309958893254482,0.0,0.704,0.284,0.416
baseline,top_heavy,top_heavy,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.02146199985872954,0.062000006437301636,0.5,0.5,0.0,0.0,5.0,0.5149999999999999,0.5149999999999999,1.4567796494470395,1.4567796494470395,0.0,0.0,1.0,0.0
baseline,top_heavy,uniform,250,20,5,15,0.0,1.0,0.0,5.0,10.0,-5.0,0.016139600425958633,0.0557999883312732,0.3333333333333333,0.6666666666666666,1.0,4.0,0.0,0.5149999999999999,0.20000000000000004,1.4567796494470395,2.321928094887362,0.0,0.0,0.0,1.0
