scenario,opponent_strategy,round,selected_strategy,reward,winner,player_1_score,player_2_score
small,balanced_priority,117,weighted_value,0.3,1,6.5,3.5
small,balanced_priority,118,top_heavy,-0.2,2,4.0,6.0
small,balanced_priority,119,winner_take_most,0.4,1,7.0,3.0
small,balanced_priority,120,defensive_spread,0.3,1,6.5,3.5
small,defensive_spread,1,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,2,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,3,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,4,noisy_weighted,0.2,1,6.0,4.0
small,defensive_spread,5,random_partition,-0.2,2,4.0,6.0
small,defensive_spread,6,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,7,uniform,-0.3,2,3.5,6.5
small,defensive_spread,8,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,9,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,10,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,11,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,12,noisy_weighted,0.2,1,6.0,4.0
small,defensive_spread,13,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,14,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,15,random_partition,-0.4,2,3.0,7.0
small,defensive_spread,16,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,17,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,18,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,19,uniform,-0.3,2,3.5,6.5
small,defensive_spread,20,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,21,noisy_weighted,-0.3,2,3.5,6.5
small,defensive_spread,22,weighted_value,0.0,0,5.0,5.0
small,defensive_spread,23,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,24,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,25,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,26,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,27,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,28,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,29,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,30,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,31,random_partition,-0.5,2,2.5,7.5
small,defensive_spread,32,uniform,-0.3,2,3.5,6.5
small,defensive_spread,33,noisy_weighted,0.3,1,6.5,3.5
small,defensive_spread,34,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,35,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,36,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,37,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,38,noisy_weighted,0.0,0,5.0,5.0
small,defensive_spread,39,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,40,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,41,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,42,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,43,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,44,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,45,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,46,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,47,noisy_weighted,0.1,1,5.5,4.5
small,defensive_spread,48,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,49,uniform,-0.1,2,4.5,5.5
small,defensive_spread,50,weighted_value,0.0,0,5.0,5.0
small,defensive_spread,51,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,52,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,53,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,54,random_partition,-0.8,2,1.0,9.0
small,defensive_spread,55,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,56,noisy_weighted,0.3,1,6.5,3.5
small,defensive_spread,57,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,58,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,59,weighted_value,0.0,0,5.0,5.0
small,defensive_spread,60,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,61,noisy_weighted,0.1,1,5.5,4.5
small,defensive_spread,62,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,63,uniform,-0.1,2,4.5,5.5
small,defensive_spread,64,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,65,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,66,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,67,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,68,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,69,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,70,noisy_weighted,0.1,1,5.5,4.5
small,defensive_spread,71,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,72,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,73,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,74,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,75,weighted_value,0.0,0,5.0,5.0
small,defensive_spread,76,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,77,uniform,-0.1,2,4.5,5.5
small,defensive_spread,78,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,79,noisy_weighted,-0.2,2,4.0,6.0
small,defensive_spread,80,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,81,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,82,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,83,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,84,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,85,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,86,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,87,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,88,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,89,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,90,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,91,noisy_weighted,0.1,1,5.5,4.5
small,defensive_spread,92,random_partition,-0.4,2,3.0,7.0
small,defensive_spread,93,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,94,uniform,-0.3,2,3.5,6.5
small,defensive_spread,95,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,96,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,97,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,98,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,99,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,100,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,101,noisy_weighted,-0.1,2,4.5,5.5
small,defensive_spread,102,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,103,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,104,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,105,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,106,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,107,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,108,defensive_spread,0.0,0,5.0,5.0
small,defensive_spread,109,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,110,weighted_value,0.2,1,6.0,4.0
small,defensive_spread,111,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,112,top_heavy,-0.2,2,4.0,6.0
small,defensive_spread,113,balanced_priority,-0.3,2,3.5,6.5
small,defensive_spread,114,noisy_weighted,0.0,0,5.0,5.0
small,defensive_spread,115,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,116,uniform,-0.4,2,3.0,7.0
small,defensive_spread,117,anti_top_heavy,0.2,1,6.0,4.0
small,defensive_spread,118,winner_take_most,0.4,1,7.0,3.0
small,defensive_spread,119,weighted_value,0.0,0,5.0,5.0
small,defensive_spread,120,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,1,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,2,balanced_priority,-0.3,2,3.5,6.5
small,noisy_weighted,3,defensive_spread,-0.1,2,4.5,5.5
small,noisy_weighted,4,noisy_weighted,0.0,0,5.0,5.0
small,noisy_weighted,5,random_partition,-0.8,2,1.0,9.0
small,noisy_weighted,6,top_heavy,-0.2,2,4.0,6.0
small,noisy_weighted,7,uniform,-0.4,2,3.0,7.0
small,noisy_weighted,8,weighted_value,0.2,1,6.0,4.0
small,noisy_weighted,9,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,10,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,11,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,12,weighted_value,0.0,0,5.0,5.0
small,noisy_weighted,13,noisy_weighted,0.0,0,5.0,5.0
small,noisy_weighted,14,defensive_spread,0.1,1,5.5,4.5
small,noisy_weighted,15,top_heavy,-0.2,2,4.0,6.0
small,noisy_weighted,16,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,17,balanced_priority,-0.4,2,3.0,7.0
small,noisy_weighted,18,uniform,-0.4,2,3.0,7.0
small,noisy_weighted,19,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,20,weighted_value,0.1,1,5.5,4.5
small,noisy_weighted,21,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,22,defensive_spread,-0.2,2,4.0,6.0
small,noisy_weighted,23,noisy_weighted,0.1,1,5.5,4.5
small,noisy_weighted,24,random_partition,-0.4,2,3.0,7.0
small,noisy_weighted,25,winner_take_most,0.1,1,5.5,4.5
small,noisy_weighted,26,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,27,top_heavy,-0.2,2,4.0,6.0
small,noisy_weighted,28,weighted_value,0.3,1,6.5,3.5
small,noisy_weighted,29,noisy_weighted,0.0,0,5.0,5.0
small,noisy_weighted,30,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,31,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,32,balanced_priority,-0.4,2,3.0,7.0
small,noisy_weighted,33,weighted_value,-0.1,2,4.5,5.5
small,noisy_weighted,34,uniform,-0.1,2,4.5,5.5
small,noisy_weighted,35,defensive_spread,-0.3,2,3.5,6.5
small,noisy_weighted,36,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,37,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,38,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,39,noisy_weighted,0.1,1,5.5,4.5
small,noisy_weighted,40,top_heavy,-0.1,2,4.5,5.5
small,noisy_weighted,41,winner_take_most,0.1,1,5.5,4.5
small,noisy_weighted,42,random_partition,0.6,1,8.0,2.0
small,noisy_weighted,43,random_partition,-0.4,2,3.0,7.0
small,noisy_weighted,44,weighted_value,-0.1,2,4.5,5.5
small,noisy_weighted,45,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,46,uniform,-0.4,2,3.0,7.0
small,noisy_weighted,47,noisy_weighted,0.2,1,6.0,4.0
small,noisy_weighted,48,defensive_spread,-0.1,2,4.5,5.5
small,noisy_weighted,49,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,50,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,51,balanced_priority,-0.4,2,3.0,7.0
small,noisy_weighted,52,top_heavy,-0.2,2,4.0,6.0
small,noisy_weighted,53,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,54,noisy_weighted,-0.2,2,4.0,6.0
small,noisy_weighted,55,weighted_value,-0.1,2,4.5,5.5
small,noisy_weighted,56,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,57,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,58,random_partition,-0.4,2,3.0,7.0
small,noisy_weighted,59,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,60,defensive_spread,-0.3,2,3.5,6.5
small,noisy_weighted,61,anti_top_heavy,0.2,1,6.0,4.0
small,noisy_weighted,62,winner_take_most,0.4,1,7.0,3.0
small,noisy_weighted,63,weighted_value,-0.1,2,4.5,5.5
